pack,rule_id,schema,doc_types,jurisdictions,has_triggers,has_checks
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.NOM_ONLY,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.VOR_5BD,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.RATE_PARITY_CPA,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.DISAGREE_PROCEED_NO_COND_SIGN,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.CONTRACTOR_INITIATED_LIMITED,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.CHANGE_IN_LAW_TAXES_BUSINESS_EXCLUDED,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.TIMEBAR_IMMEDIATE_OFFSHORE_3D,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.WAIVER_CUMULATIVE_CARDINAL,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.MITIGATION_DUTY,,,,True,True
contract_review_app/legal_rules/policy_packs/variations_clause14.yaml,VARIATIONS.RATE_IMMUTABILITY_BASELINE,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.agreement_docs_title.company,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.fg.licence.scope,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.bg.licence.conflict,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.moral_rights.waiver,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.indemnity.remedies,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.brand.use.prohibition,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.supplied_software.definition,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.further_assurances.poa,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.oss.guardrails,,,,True,True
contract_review_app/legal_rules/policy_packs/ipr_core.yaml,ipr.source_code.escrow,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.QMS.ISO9001,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.QP.REQUIRED,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.AUDIT.ISO19011,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.MOC.FORMAL,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.ITP.EXISTS,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.ITP.NOTICE,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.COST.NOSHOW_FAIL,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.INSPECT.NO_WAIVER,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.HIDDEN.WORKS,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.SHIP.BLOCK,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.EQUIP.CERT.LOLER_PUWER,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.LAB.ISO17025,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_inspections.yaml,13.MARKING.UKCA_CE,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.clean.free_of_liens,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.vesting.early_wip_offsite,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.delivery_up.access_right,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.embedded_software.perpetual_licence,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.marking.register.audit,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.risk.cross_reference,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.commingling.bulk_processing,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.rejection.return_reversion,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.waivers.third_party_liens,,,,True,True
contract_review_app/legal_rules/policy_packs/title_core.yaml,title.customs.ior_alignment,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.qms.iso_required,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.qp.iso10005.required,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.audit.iso19011,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.moc.qms_changes,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.itp.required,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.itp.hw_notice_5d,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.company.rights.reject_nonconforming,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.hidden_work_prove_compliance,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.no_ship_without_final_inspection,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.equipment.certificates_pre_dispatch,,,,True,True
contract_review_app/legal_rules/policy_packs/quality_clause13.yaml,quality.equipment.site_tests_swl,,,,True,True
